Date,week_of,Verified Purchase,Recommended,Incentivized,Product shade,Rating,Review ID,Review Title,Review,Upvote,Downvote,Reviewer Name,Reviewer Description,AgeRange,SkinConcerns,Unnamed: 15
2022-09-19,18_Sep_2022,No,Yes,No,,4 stars,P4R22,Great body cream,"I used this cream a few times for my face but it didn’t work well with my other face treatments, it started to pill, but I love it as a body cream",2,0,lovelysweets,"Brown eyes, Black hair, Deep skin tone, Dry skin",,Dullness,1
2022-09-14,11_Sep_2022,No,Yes,No,,5 stars,P4R23,Julia love skincare,"Love 💕 love ❤️ love 💗 love 💗 great for hydration.,   For people who love make up 🆙 or not this is the power",4,1,Julianna1186,"Hazel eyes, Brunette hair, Olive skin tone, Combination skin",,Dark Circles,1
2022-09-11,11_Sep_2022,No,Yes,No,,5 stars,P4R24,Must have thick face cream,"LOVE LOVE LOVE this thick, hydrating cream. It’s so smooth and comfortable on the skin.",0,0,slay420,"Brown eyes, Brunette hair, Fair skin tone, Combination skin",,Acne,1
2022-09-08,04_Sep_2022,No,Yes,No,,5 stars,P4R25,A MUST Have,No redness no breakouts . I have normal to dry skin and thisssss issss amazing 🤩 but I do not recommend if u have oily skin . Best cream ever,1,0,vevecleme,"Blue eyes, Blonde hair, Fair skin tone, Normal skin",,Acne,1
2022-09-06,04_Sep_2022,No,Yes,No,,5 stars,P4R26,,Love this product! Gives a great amount of moisture and rubs on nicely. No signs of acne or bumps when using this.,0,0,skinwithjess,"Brown eyes, Black hair, Fair skin tone, Combination skin",,Acne,1
2022-09-05,04_Sep_2022,No,Yes,No,,5 stars,P4R27,Amazing!!!,"I have combo skin, and this was perfect as a night cream for me. I realized that my skin was needing more hydration at night. This is the best. I also use it on my dry body as a body lotion. I recommend!",3,0,sand2009,"Blue eyes, Brunette hair, Medium skin tone, Combination skin",,Acne,1
2022-08-31,28_Aug_2022,No,Yes,No,,5 stars,P4R28,,This is truly the best moisturizer I’ve ever used. I have super dry skin and have tried so many different moisturizers and this is the only one that has made a difference. The bottle will last me MONTHS and I have never ever found a product that worked this well.,1,1,user12342,"Blue eyes, Brunette hair, Light skin tone, Combination skin",,Acne,1
2022-08-30,28_Aug_2022,No,No,No,,2 stars,P4R29,Not The Best,"I was not impressed with this. I have very dry skin and got it to use on my face, and it was just OKAY, but didn’t seem to do much for my dry patches. Nothing to cry home about. I wasn’t huge on the smell, but that’s something pretty easy to look past. What I REALLY didn’t like is that when rubbing it in, the moisturizer would pill up, like it was sort of separating or something if I rubbed it in for too long. Not a horrible product, but I don’t recommend it and I will not be purchasing it again.",5,1,sasin,"Green eyes, Blonde hair, Fair skin tone, Dry skin",,Redness,1
2022-08-28,28_Aug_2022,No,Yes,No,,4 stars,P4R30,sensitive skin is tough to manage,"It works really well for my sensitive skin, it's not perfect but it works good enough. I like that it doesn't have a fragrance and soaks in, but my skin is still dry after use so I mix in a little q10 or rosehip for some added moisture and that helps.",2,1,bobara123,"Hazel eyes, Blonde hair, Light skin tone, Combination skin",,,1
2022-08-22,21_Aug_2022,No,Yes,No,,5 stars,P4R31,super super good,"I love this stuff so much, my skin was good but it was missing something and this repair cream makes my skin barrier very happy every night.",1,1,dndheilman,"Brown eyes, Brunette hair, Medium skin tone, Combination skin",,Acne,1
2022-08-21,21_Aug_2022,No,Yes,No,,4 stars,P4R32,Not greasy!,"I have been using this for a week and I love it so far! It hydrates and moistures skin without leaving your face feeling greasy. It does burn a little when you first apply it, but it goes away pretty quickly and its not too bothersome. I will definitely be purchasing again!",0,0,MandyyH,"Brown eyes, Brunette hair, Medium skin tone, Dry skin",,Dullness,1
2022-08-18,14_Aug_2022,No,Yes,No,,3 stars,P4R33,Burning Sensation,"I was really looking forward to using this because i’ve heard nothing but good things. Recently I’ve been over exfoliating and messed up my skin barrier, so I bought this to supplement my new routine to remedy it. Very thick and moisturizing, but I noticed that my skin felt like it was burning on first application. I thought nothing of it, but after trying it again 2 more times, I’m sure it’s this product. Maybe I’ll wait until my skin barrier has healed to give it another try.",6,3,yasspills,"Brown eyes, Black hair, Ebony skin tone, Dry skin",,Acne,1
2022-08-16,14_Aug_2022,No,No,No,,2 stars,P4R34,ABSOLUTE NO!!,"This cream is very lightweight and has a whipped texture. It smells like oats which was weird in the beginning  but I got used to it. It is intended for dry to very dry skin however I didn’t find it hydrating enough. I used it from september to march so basically winter and it wasn’t cut out for this weather. See its ingredients include oat, ceramides, niacinamide, and MANY silicones. The problem with this was that the cream left this residue which was clearly due to the silicones. It was very fast absorbing and I needed alot of product in order to feel moisturized. When I washed my face it felt like there was a layer of cream sitting there so I didn’t like that at all. Also, I think because of the niacinamide there was a BURNING sensation for many days when I first started using it but I got used to it eventually. I’ve never had a cream that lasted me such a short time. I think this cream would suit summers cuz it wasn’t enough for the winter here and summers here get very humid so it would literally just melt off cuz of the silicones. There were many times I outright hated how it made my skin feel so I don’t think I would use it again.",9,5,potatotots,"Brown eyes, Black hair, Deep skin tone, Combination skin",,Blackheads,1
2022-08-15,14_Aug_2022,No,Yes,No,,5 stars,P4R35,life Saver!,I have struggled with finding skin care products that doesn’t take a layer of my skin off. Even the products my dermatologist gave me burned my skin. Almost like a sunburn and it would last for weeks. On top of having rosacea flare ups my skin looked terrible but I was terrified to try any new products. I finally pulled the trigger on this moisturizer. I pair this with the pure skin face cleanser and the ultra repair wild out hydrating toner and my skin has started to look amazing for the first time in my life. I have had less and less rosacea flare ups.,18,1,AuntBB26,"Hazel eyes, Blonde hair, Fair skin tone, Dry skin",,Acne,1
2022-08-12,07_Aug_2022,No,Yes,No,,5 stars,P4R36,great product,"Very soothing and moisturizing, smell like medicine tho",1,1,quynhhuynh9x,"Brown eyes, Brunette hair, Porcelain skin tone, Oily skin",,Aging,1
2022-08-09,07_Aug_2022,No,Yes,No,,5 stars,P4R37,,It helps repair my skin and keep it in a stable condition when the weather is dry or when my skin is sensitive. Didn’t realise that I really need it until I switched to something else.,0,0,dz233,"Brown eyes, Black hair, Medium skin tone, Combination skin",,Blackheads,1
2022-08-07,07_Aug_2022,No,Yes,No,,4 stars,P4R38,love,I absolutely love this moisturizer!! It feels so nice on my skin and it doesn’t feel too heavy which I love!!,1,0,Courtney2004,"Blue eyes, Blonde hair, Light skin tone, Combination skin",,Acne,1
2022-07-31,31_Jul_2022,No,Yes,No,,5 stars,P4R39,,this is the only moisturizer that could clear up my eczema and it did it in just a few days. it’s really good as a facial moisturizer too and doesn’t clog pores,4,0,Chloe0102,"Brown eyes, Brunette hair, Fair skin tone, Combination skin",,Acne,1
2022-07-31,31_Jul_2022,No,Yes,No,,5 stars,P4R40,Best moisturizer I’ve ever tried,"So thick and creamy, yet it doesn’t feel heavy and doesn’t leave you looking like a greasy mess.",3,1,dayanaaa,"Brown eyes, Black hair, Dark skin tone, Combination skin",,Blackheads,1
2022-07-27,24_Jul_2022,No,Yes,No,,5 stars,P4R41,,Really thick and moisturizing. And it’s clean! Love it.,1,0,pgilmil,"Blue eyes, Blonde hair, Light skin tone, Combination skin",,Acne,1
2022-07-25,24_Jul_2022,No,Yes,No,,5 stars,P4R42,Emollient,"Does the job the on first application. I love to use this after swimming or in chaffing areas. I use it on my face a couple of times a month. living in the desert, this stuff is amazing.",0,0,lovelyleanna,"Blue eyes, Red hair, Fair skin tone, Dry skin",,,1
2022-07-22,17_Jul_2022,No,Yes,No,,4 stars,P4R43,perfect moisturizer,"I got this (the normal 6oz size) in their holiday set and I've used it every day, twice a day, since mid-January. It's mid-July and I still have about another 2 weeks worth of product in there - you absolutely get your money's worth on this stuff. I have normal to oily skin and find that it's rich but not heavy, lightly herbally scented (didn't bother my skin, might bother yours), and layers fine with other products. Just don't leave the lid unscrewed overnight - it'll solidify the top layer which is gross.",3,0,lcgordon,"Blonde hair, Fair skin tone, Combination skin",,Acne,1
2022-07-20,17_Jul_2022,No,No,No,,2 stars,P4R44,disappointed,I use retinol every other day and my skin has gotten a bit drier from it so I wanted to try this and even though it says it’s good for sensitive skin it still ended up burning my face so bad that I had to wash it off,6,4,Mayrajav,"Brown eyes, Black hair, Fair skin tone, Normal skin",,Sensitivity,1
2022-07-19,17_Jul_2022,Yes,Yes,No,,5 stars,P4R45,,"Wow.  What a difference.  In hydration as well as texture of my skin, on my face and upper arms.  I have bumps on my upper arms and this has made them smoother than anything else I have tried.",0,1,auntlarlee,"Green eyes, Brunette hair, Light skin tone, Normal skin",,Aging,1
2022-07-19,17_Jul_2022,No,Yes,No,,5 stars,P4R46,,I really like this moisturizer. Very thick and will last literally forever. It’s actually a huge bottle so it will last ages,1,0,rocioxdiaz,"Brown eyes, Brunette hair, Medium skin tone, Combination skin",,Acne,1
2022-07-18,17_Jul_2022,No,Yes,No,,5 stars,P4R47,,This stuff is great especially if you’re eczema prone like me. I will continue to repurchase this.,3,2,Chloemg2143,"Brown eyes, Brunette hair, Fair skin tone, Combination skin",,Acne,1
2022-07-17,17_Jul_2022,No,No,No,,1 star,P4R48,will give you skin issues,If you have acne prone skin or don’t want to deal with breakouts stay away. I never really had issues with acne until using this product. It took me months to get my skin back to normal. Luckily I don’t scar easily. You can get better moisturizers that don’t break you out.,11,5,justicej3,"Brown eyes, Black hair, Medium skin tone, Normal skin",,,1
2022-07-15,10_Jul_2022,No,Yes,No,,5 stars,P4R49,A cult classic you should try,"It’s only my second favorite moisturizing cream, but it still gets a strong five stars. I loved the slightly whipped but still creamy texture, and it’s excellent bang for your buck. I love the whole concept behind FAB. 
Their oatmeal mask is one of my holy grail products that I never travel without. I think it might have been discontinued, but in any case, FAB knows how to deliver when it comes to moisture.",6,2,NicoBee17,"Tan skin tone, Combination skin",,Acne,1
2022-07-14,10_Jul_2022,No,Yes,No,,5 stars,P4R50,HOLY GRAIL PRODUCT,when i say i love this moisturizer…i mean i would date my ex again for it. it’s the best. i use it at night with other serums but i notice that it is this product that smooths and hydrates my skin overnight. literally obsessed it makes my redness and acne scars look so much better and heals any new damage on my skin. LOVE,4,1,sephoraaddict68,"Brown eyes, Brunette hair, Medium skin tone, Combination skin",,Acne,1
2022-07-13,10_Jul_2022,No,No,No,,1 star,P4R51,makes me breakout,"A little about my skin:
-combo/oily 
-acne prone

I have a jar of this as a backup for when I run out of my lineup of regular moisturizers- I bought it thinking it would help my dry patches in the winter and then got too lazy to return in. EVERY SINGLE TIME I USE IT, I BREAKOUT. 

My skincare consists of aha/bha 2-3 nights per week and vitamin c the other nights. I typically use the Inky List Peptide moisturizer, IT cosmetics Secret Sauce, or the Glow Recipe watermelon gel moisturizer (dependent on heat/humidity) and never breakout. But as soon as I use this on my face, WHAM! pimple. I’ll give this a 1 because it also doesn’t do much for moisturizing in the winter when my skin needs more hydration and moisture. It’s overpriced and not worth the hype.",12,1,ribbongirl,"Brown eyes, Brunette hair, Tan skin tone, Oily skin",,Aging,1
2022-07-12,10_Jul_2022,No,Yes,No,,5 stars,P4R52,Definitely Worth Trying,Love Love Love this Cream . My face gets extremely dry especially when I get out of the shower . My face was always dry and my skin use to peel because it was so dry . I use this cream everyday and it helped my face a lot . I also have sensitive skin and this cream did not irritate my skin . My face no long feels dry and my skin doesn’t peel anymore .,1,0,MDB23,"Brown eyes, Black hair, Medium skin tone, Dry skin",,Cellulite,1
2022-07-11,10_Jul_2022,No,Yes,No,,5 stars,P4R53,,my holy grail and the only thing to help my eczema!!,0,1,tp868,"Brown eyes, Brunette hair, Light skin tone, Combination skin",,Acne,1
2022-07-05,03_Jul_2022,No,Yes,No,,5 stars,P4R54,Amazing,My skin gets super dry during the cold months and this moisturizer has been a life saver! The tube is big enough to last me a year!! For that price it’s a win win,4,1,Salmabe,"Brown eyes, Black hair, Medium skin tone, Combination skin",,Acne,1
2022-07-01,26_Jun_2022,No,Yes,No,,5 stars,P4R55,,"a staple in my skincare. this is the best purchase, leaving me with glowing soft moisturized skin.",3,2,Brinkleynoel,"Hazel eyes, Blonde hair, Light skin tone, Combination skin",,Sensitivity,1
2022-06-25,19_Jun_2022,No,No,No,,2 stars,P4R56,Pills and Burns,"This moisturizer isn’t anything special in my opinion but the cons to it is that it burns like really bad which has never happened to me before and it also pills which is strange. I thought it was my sunscreen or other products but I put it on by itself, and my face started pilling. I usually don’t do reviews but I think some people should know.",9,2,dryskinbaby,"Brown eyes, Brunette hair, Medium skin tone, Dry skin",,Acne,1
2022-06-23,19_Jun_2022,No,Yes,No,,5 stars,P4R57,the BEST,"I can't believe I haven't reviewed this yet. I've been using this moisturizer since 2009 and it's seriously the best moisturizer I've ever used. I have dry, rosacea prone skin and this is so soothing and moisturizing. It feels pretty heavy going in, but it absorbs wonderfully and doesn't pill with anything. I've applied it over serums, under SPF and makeup, and I've never had an issue. If you have dry skin and redness, use this over Josie Maran argan milk and it will change your life.",7,1,rachelk222,"Blue eyes, Brunette hair, Porcelain skin tone, Dry skin",,Acne,1
2022-06-23,19_Jun_2022,No,Yes,No,,4 stars,P4R58,,One of the best moisturizers I have ever used. The texture is wonderful and I have not come across anything like it before. I have oily skin and it was not too much for me.,1,0,silkyschneids,"Blue eyes, Blonde hair, Tan skin tone, Oily skin",,Acne,1
2022-06-22,19_Jun_2022,No,No,No,,1 star,P4R59,burns!,"I’ve used the ultra repair cream for over 6 years and they recently changed their formula and now it BURNS when I put it on. It doesnt even burn when I put my tretinoin on but the second I put this on, it burns!!",11,3,skincare218,"Brown eyes, Black hair, Medium skin tone, Dry skin",,Acne,1
2022-06-19,19_Jun_2022,No,Yes,No,,4 stars,P4R60,,"I use it now for my eczema patches that I get in my chest and body works greats it’s SUPER HYDRATING. A little goes a long way. You can make it thick for night cream or light for day use. However, I use to use it for my face a few years ago and worked great but now unfortunately my face has changed and it clogged me but hey exfoliating fixed that.",3,0,Dee94110,"Brown eyes, Black hair, Olive skin tone, Combination skin",,Acne,1
2022-06-18,12_Jun_2022,No,Yes,No,,5 stars,P4R61,,"Extremely moisturizing, great for winter but a little greasy for summer. Can be used on irritated skin",1,0,SCKilla,"Brown eyes, Brunette hair, Medium skin tone, Combination skin",,Acne,1
2022-06-18,12_Jun_2022,No,Yes,No,,5 stars,P4R62,,This product changed my life. I have tried so many moisturizers and this one is magical for my dry and very sensitive skin. It’s just thick enough but allows you to layer makeup nicely. It doesn’t have a smell which is just want I was looking for. Highly recommend.,2,1,SS9575,"Blue eyes, Blonde hair, Fair skin tone, Dry skin",,Redness,1
2022-06-15,12_Jun_2022,No,No,No,,2 stars,P4R63,Wasn’t for me,"I wanted to love it, but I just couldn’t. My skin isn’t extremely dry, nor is it oily in the slightest. CeraVe has been my holy grail for years and I just wanted to switch it up. However, anytime I would use this as moisturizer it would end up pilling off of my skin within 30 minutes. Whether I paired it with a primer and skin tint in order to do my makeup, or if I was just doing my skin care routine, it happened every time. If I had put it on before makeup, within that hour I would be having to get all of the pilled product off of my skin with a napkin. I tried so many different combos, stopped using certain products with it, etc. None worked! The only way it stopped was when I stopped using the moisturizer. The consistency of it is so nice and it makes your skin feel really good, I was just disappointed my skin didn’t love it as much as I wanted to.",2,0,KarliSK,"Brown eyes, Brunette hair, Olive skin tone, Normal skin",,,1
2022-06-14,12_Jun_2022,No,Yes,No,,5 stars,P4R64,my holy grail,"I have to say, I love FAB products! I’ve tried a lot (more on the dry skin range) and everything has been great. This is my holy grail moisturizer. I would say it’s slightly on the heavy side, but not unusable for normal or combo skin. I have been buying this for years. I typically add squalane and Marula to it. It’s really amazing and calming for my very dry skin. Haven’t had any issues with it. And a decent price for what it is and how much you can get. One of the rare items I have bought ten times.",1,0,mandersapple,"Blue eyes, Auburn hair, Fair skin tone, Dry skin",,Dullness,1
2022-06-14,12_Jun_2022,No,Yes,No,,5 stars,P4R65,Healed my Keratosis pilaris,"This stuff is incredible!! I’ve suffered from keratosis pilaris my entire life and nothing has helped smooth out my arms like this has! I am amazed. I also use it as my night time cream for my face and I love it. I do not recommend this as a day cream if you wear makeup, tends to pill. If you had KP give this a try!",1,0,Melic93,"Brown eyes, Brunette hair, Medium skin tone, Dry skin",,Aging,1
2022-06-13,12_Jun_2022,Yes,Yes,No,,5 stars,P4R66,,I am in my late sixties and have very dry skin.  I also live in a dry climate.  This is the only product that keeps my parched skin from drying out.  It does not slough off when I put on make-up.  I have tried MANY products and this is the only one that works for me.  I love it.,0,0,peester,"Blue eyes, Brunette hair, Light skin tone, Combination skin",,Aging,1
2022-06-10,05_Jun_2022,Yes,No,No,,2 stars,P4R67,First review .. so disappointed,"Why oh why oh why did this have to be reformulated to include essential oils? This product is no longer safe for my super sensitive, rosacea prone skin. I’ve been purchasing this product for over five years and now I have an entire tub of it I won’t be able to use because it’s no longer fragrance free. So disappointed. If you have rosacea or very sensitive skin, be cautious using this.",26,4,Lo14,"Brown eyes, Blonde hair, Porcelain skin tone, Normal skin",,Redness,1
2022-06-10,05_Jun_2022,No,Yes,No,,5 stars,P4R68,Great Moisturizer and Great for Healing Sunburns,"I have pretty fair skin and dry out pretty quickly. This does a very great job moisturizer my skin. I also tend to get pretty sunburns and even after being very diligent in applying moisturizer, I ALWAYS peel. Last weekend, I got a really bad sunburn and used this lotion instead. to my surprise I didn’t peel! I definitely love this product!",2,0,sugarkiss96,"Hazel eyes, Blonde hair, Light skin tone, Dry skin",,Aging,1
2022-06-09,05_Jun_2022,Yes,Yes,No,,5 stars,P4R69,Love it,I'm surprised how much I love this. It's so cost effective and the product works great for me. I have normal skin and it's great for both night time and for day time layered with an spf. I will be reordering for sure.,0,0,abby1119,"Brown eyes, Brunette hair, Medium skin tone, Normal skin",,Dark Circles,1
2022-06-08,05_Jun_2022,No,No,No,,3 stars,P4R70,Irritated my skin :/,"I had been wanting to purchase this item for years, so when I did I was excited to try it. The first time I tried it I realized the cream gave my skin and almost burning sensation and my face would turn blotchy. I did however notice that it did leave my skin soft. This product is not for sensitive skin, but I did moisturize my skin.",4,0,0nlines0ngs,"Brown eyes, Black hair, Fair skin tone, Dry skin",,Acne,1
