,Sentiment,L1 Cluster ID,L1 Cluster,L2 Cluster ID,L2 Cluster,L2 Rating (Review),L2 Rating (Phrase),L3 Cluster ID,L3 Cluster,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
44,Positive,,,,Packaging,5,5,,,,,, $14/2oz tube,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
45,Positive,,,,Texture,5,5,,,,,, not greasy,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
46,Positive,,,,Skin,5,5,,,,,, I have rosacea,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
47,Positive,,,,Skin,5,5,,,,,, most of the redness go away,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
48,Positive,,,,Odor,5,5,,,,,, doesn't smell bad,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
49,Positive,,,,Texture,5,5,,,,,, rich consistency,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
50,Positive,,,,Texture,5,5,,,,,, doesn't feel too heavy,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
51,Positive,,,,Skin,5,5,,,,,, reducing irritation,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
52,Positive,,,,Skin,5,5,,,,,, soothing the skin,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
53,Positive,,,,Skin,5,5,,,,,, act up with changes in the weather,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
54,Positive,,,,Price,5,5,,,,,, For the price,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
55,Positive,,,,Price,5,5,,,,,, this is definitely well worth it,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
56,Positive,,,,Odor,5,5,,,,,, appreciate that this is fragrance free,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
57,Positive,,,,Motivation,5,5,,,,,, first ingredient is colloidal oatmeal,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
58,Negative,,,,Allergy,5,5,,,,,, didn't break me out,P4R624,5,25 July 2020,Yes,Yes,No,22,1,,Acne
59,Positive,,,,Texture,5,5,,,,,, soaks into my skin quickly,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
60,Positive,,,,Texture,5,5,,,,,, no oiliness throughout the day,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
61,Positive,,,,Skin,5,5,,,,,, oily skin,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
62,Positive,,,,Skin,5,5,,,,,, flakiness is gone,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
63,Positive,,,,Price,5,5,,,,,, Great price for an amazing product,P4R627,5,23 July 2020,Yes,Yes,No,9,0,,Acne
64,Positive,,,,Texture,5,5,,,,,, thickness of the cream,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
65,Positive,,,,Skin,5,5,,,,,, soothes and moisturizes heavenly,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
66,Positive,,,,Motivation,5,5,,,,,, finally found a great moisturizer,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
67,Negative,,,,Skin,5,5,,,,,, bit much for my oily,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
68,Negative,,,,Skin,5,5,,,,,, acne prone skin,P4R628,5,21 July 2020,No,Yes,No,4,0,,Acne
69,Positive,,,,Texture,5,5,,,,,, Soothing cream that sinks into skin,P4R630,5,20 July 2020,Yes,Yes,No,4,0,,Aging
70,Positive,,,,Skin,5,5,,,,,, occasional redness due to eczema,P4R630,5,20 July 2020,Yes,Yes,No,4,0,,Aging
71,Positive,,,,Odor,5,5,,,,,, No fragrance,P4R630,5,20 July 2020,Yes,Yes,No,4,0,,Aging
72,Positive,,,,Texture,5,5,,,,,, not too oily,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
73,Positive,,,,Skin,5,5,,,,,, SO great! Really kept my skin so hydrated,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
74,Positive,,,,Purchase,5,5,,,,,, still had well over half of the tub left,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
75,Positive,,,,Demographic,5,5,,,,,, colder months,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
76,Positive,,,,Brand,5,5,,,,,, with other FAB products,P4R633,5,19 July 2020,No,Yes,No,1,0,,Acne
77,Positive,,,,Texture,5,5,,,,,, ur skin Very soft,P4R636,5,19 July 2020,Yes,Yes,Yes,1,0,,Acne
78,Positive,,,,Texture,4,4,,,,,, not oily cream,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
79,Positive,,,,Application,4,4,,,,,, apply my night time retinoid,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
80,Positive,,,,Application,4,4,,,,,, my décolletage,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
81,Negative,,,,Texture,4,4,,,,,, rich but not oily cream. It stays tacky for a while,P4R639,4,17 July 2020,No,Yes,No,3,0,,Acne
82,Positive,,,,Texture,5,5,,,,,, heavy cream,P4R643,5,13 July 2020,No,Yes,No,0,1,,Acne
83,Negative,,,,Allergy,5,5,,,,,, giving me a tingling sensation,P4R643,5,13 July 2020,No,Yes,No,0,1,,Acne
84,Positive,,,,Texture,5,5,,,,,, without feeling oily/ greasy,P4R650,5,07 July 2020,No,Yes,No,1,0,18-24,Blackheads
85,Positive,,,,Texture,5,5,,,,,, soaks in nicely,P4R650,5,07 July 2020,No,Yes,No,1,0,18-24,Blackheads
86,Positive,,,,Texture,5,5,,,,,, not leaving the skin super shiny and greasy looking,P4R650,5,07 July 2020,No,Yes,No,1,0,18-24,Blackheads
87,Positive,,,,Texture,5,5,,,,,, without making my skin look nor feel greasy,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
88,Positive,,,,Skin,5,5,,,,,, damaged moisture barrier,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
89,Positive,,,,Performance,5,5,,,,,, intense acne,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
90,Positive,,,,Performance,5,5,,,,,, protect and nourish my damaged moisture,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
91,Positive,,,,Packaging,5,5,,,,,, amount you use is important,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
92,Positive,,,,Packaging,5,5,,,,,, good,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
93,Positive,,,,Packaging,5,5,,,,,, standard moisturizer,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
94,Positive,,,,Motivation,5,5,,,,,, making it my permanent moisturizer,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
95,Positive,,,,Application,5,5,,,,,, my face and neck,P4R651,5,06 July 2020,No,Yes,No,16,2,13-17,Blackheads
96,Positive,,,,Texture,3,3,,,,,, nice texture,P4R654,3,02 July 2020,No,No,No,8,0,45-54,Aging
97,Negative,,,,Odor,3,3,,,,,, can't get past the scent. of eucalyptus is quite strong,P4R654,3,02 July 2020,No,No,No,8,0,45-54,Aging
98,Positive,,,,Texture,5,5,,,,,, love the texture,P4R655,5,01 July 2020,No,Yes,No,0,0,,Aging
99,Positive,,,,Skin,5,5,,,,,, skin loves it,P4R655,5,01 July 2020,No,Yes,No,0,0,,Aging
100,Positive,,,,Texture,5,5,,,,,, absorbs into the skin fast,P4R662,5,25 June 2020,No,Yes,No,6,0,,Acne
101,Positive,,,,Texture,5,5,,,,,, leaves no residue on the skin,P4R662,5,25 June 2020,No,Yes,No,6,0,,Acne
102,Positive,,,,Skin,5,5,,,,,, my skin looked more hydrated,P4R662,5,25 June 2020,No,Yes,No,6,0,,Acne
103,Positive,,,,Sentiment,5,5,,,,,, love this product,P4R662,5,25 June 2020,No,Yes,No,6,0,,Acne
104,Positive,,,,Texture,5,5,,,,,, without leaving a greasy residue,P4R666,5,19 June 2020,No,Yes,No,2,1,,Acne
105,Positive,,,,Skin,5,5,,,,,, balance of hydration,P4R666,5,19 June 2020,No,Yes,No,2,1,,Acne
106,Positive,,,,Price,5,5,,,,,, great price for the quantity,P4R666,5,19 June 2020,No,Yes,No,2,1,,Acne
107,Positive,,,,Ingredients,5,5,,,,,, isn't full of unnecessary ingredients,P4R666,5,19 June 2020,No,Yes,No,2,1,,Acne
108,Positive,,,,Demographic,5,5,,,,,, winter months,P4R666,5,19 June 2020,No,Yes,No,2,1,,Acne
109,Positive,,,,Texture,5,5,,,,,, heavyweight on my skin,P4R669,5,16 June 2020,No,Yes,No,10,0,,Acne
110,Positive,,,,Texture,5,5,,,,,, but it's not,P4R669,5,16 June 2020,No,Yes,No,10,0,,Acne
111,Positive,,,,Skin,5,5,,,,,, fungal acne,P4R669,5,16 June 2020,No,Yes,No,10,0,,Acne
112,Positive,,,,Skin,5,5,,,,,, rosacea,P4R669,5,16 June 2020,No,Yes,No,10,0,,Acne
113,Positive,,,,Odor,5,5,,,,,, smell is very light,P4R669,5,16 June 2020,No,Yes,No,10,0,,Acne
114,Positive,,,,Application,5,5,,,,,, apply it after B5 serum,P4R669,5,16 June 2020,No,Yes,No,10,0,,Acne
115,Negative,,,,Skin,5,5,,,,,, super dry sensitive,P4R669,5,16 June 2020,No,Yes,No,10,0,,Acne
116,Negative,,,,Allergy,5,5,,,,,, stinging but,P4R669,5,16 June 2020,No,Yes,No,10,0,,Acne
117,Positive,,,,Texture,5,5,,,,,, absorbs into the skin not leaving me greasy,P4R670,5,15 June 2020,Yes,Yes,No,10,0,13-17,Acne
118,Positive,,,,Skin,5,5,,,,,, Normal to oily skin,P4R670,5,15 June 2020,Yes,Yes,No,10,0,13-17,Acne
119,Positive,,,,Skin,5,5,,,,,, got rid of the redness,P4R670,5,15 June 2020,Yes,Yes,No,10,0,13-17,Acne
120,Positive,,,,Skin,5,5,,,,,, peeling immediately,P4R670,5,15 June 2020,Yes,Yes,No,10,0,13-17,Acne
121,Positive,,,,Sentiment,5,5,,,,,, It also works amazing,P4R670,5,15 June 2020,Yes,Yes,No,10,0,13-17,Acne
122,Positive,,,,Price,5,5,,,,,, This is cheap,P4R670,5,15 June 2020,Yes,Yes,No,10,0,13-17,Acne
123,Positive,,,,Texture,4,4,,,,,, thick enough to rub into skin ,P4R671,4,15 June 2020,No,Yes,No,9,0,,Aging
124,Positive,,,,Texture,4,4,,,,,, doesn’t leave any greasiness,P4R671,4,15 June 2020,No,Yes,No,9,0,,Aging
125,Positive,,,,Skin,4,4,,,,,, my forehead was still flaking and dry ,P4R671,4,15 June 2020,No,Yes,No,9,0,,Aging
126,Positive,,,,Skin,4,4,,,,,, significant change,P4R671,4,15 June 2020,No,Yes,No,9,0,,Aging
127,Positive,,,,Sentiment,4,4,,,,,, I’m not a fan of the smell,P4R671,4,15 June 2020,No,Yes,No,9,0,,Aging
128,Positive,,,,Purchase,4,4,,,,,, I love it and as long as it keeps working for my skin,P4R671,4,15 June 2020,No,Yes,No,9,0,,Aging
129,Positive,,,,Motivation,4,4,,,,,, went into the Sephora seeking some help,P4R671,4,15 June 2020,No,Yes,No,9,0,,Aging
130,Negative,,,,Odor,4,4,,,,,, ike the smell,P4R671,4,15 June 2020,No,Yes,No,9,0,,Aging
131,Positive,,,,Texture,1,1,,,,,, thicker side,P4R673,1,13 June 2020,No,No,No,26,0,,Aging
132,Positive,,,,Texture,1,1,,,,,, so soft,P4R673,1,13 June 2020,No,No,No,26,0,,Aging
133,Positive,,,,Texture,1,1,,,,,, smooth,P4R673,1,13 June 2020,No,No,No,26,0,,Aging
134,Positive,,,,Texture,1,1,,,,,,,P4R673,1,13 June 2020,No,No,No,26,0,,Aging
135,Positive,,,,Skin,1,1,,,,,, combination skin,P4R673,1,13 June 2020,No,No,No,26,0,,Aging
136,Positive,,,,Skin,1,1,,,,,,,P4R673,1,13 June 2020,No,No,No,26,0,,Aging
137,Positive,,,,Motivation,1,1,,,,,, sample packets of the FAB,P4R673,1,13 June 2020,No,No,No,26,0,,Aging
138,Positive,,,,Texture,5,5,,,,,, SO hydrating,P4R674,5,13 June 2020,Yes,Yes,No,0,0,,Acne
139,Positive,,,,Texture,5,5,,,,,, doesn't just sit on top,P4R674,5,13 June 2020,Yes,Yes,No,0,0,,Acne
140,Positive,,,,Texture,5,5,,,,,, no leftover residue,P4R685,5,10 June 2020,No,Yes,No,2,0,,Sensitivity
141,Positive,,,,Skin,5,5,,,,,, my skin not broken out,P4R685,5,10 June 2020,No,Yes,No,2,0,,Sensitivity
142,Positive,,,,Skin,5,5,,,,,, hormonal acne,P4R685,5,10 June 2020,No,Yes,No,2,0,,Sensitivity
143,Positive,,,,Skin,5,5,,,,,, bumps on my arms,P4R685,5,10 June 2020,No,Yes,No,2,0,,Sensitivity
144,Positive,,,,Demographic,5,5,,,,,, mother,P4R685,5,10 June 2020,No,Yes,No,2,0,,Sensitivity
145,Positive,,,,Allergy,5,5,,,,,, his hasn’t instigated,P4R685,5,10 June 2020,No,Yes,No,2,0,,Sensitivity
146,Positive,,,,Texture,4,4,,,,,, don't wake up with a greasy face,P4R687,4,06 June 2020,Yes,Yes,No,1,0,,Acne
147,Positive,,,,Texture,4,4,,,,,, don't get super oily,P4R687,4,06 June 2020,Yes,Yes,No,1,0,,Acne
148,Negative,,,,Texture,4,4,,,,,, for my skin to absorb it,P4R687,4,06 June 2020,Yes,Yes,No,1,0,,Acne
149,Negative,,,,Texture,4,4,,,,,,,P4R687,4,06 June 2020,Yes,Yes,No,1,0,,Acne
150,Positive,,,,Texture,5,5,,,,,, absorbs quickly,P4R693,5,29 May 2020,Yes,Yes,No,16,1,,Blackheads
151,Positive,,,,Skin,5,5,,,,,, combination,P4R693,5,29 May 2020,Yes,Yes,No,16,1,,Blackheads
152,Positive,,,,Skin,5,5,,,,,, spot treatment for dry patches,P4R693,5,29 May 2020,Yes,Yes,No,16,1,,Blackheads
153,Positive,,,,Price,5,5,,,,,, switched to this to save money,P4R693,5,29 May 2020,Yes,Yes,No,16,1,,Blackheads
154,Negative,,,,Competitor,5,5,,,,,, Drunk Elephant Lala Retro,P4R693,5,29 May 2020,Yes,Yes,No,16,1,,Blackheads
155,Positive,,,,Texture,5,5,,,,,, deeply combats,P4R694,5,29 May 2020,Yes,Yes,No,5,0,,Aging
156,Positive,,,,Texture,5,5,,,,,, feel quite like this,P4R694,5,29 May 2020,Yes,Yes,No,5,0,,Aging
157,Positive,,,,Texture,5,5,,,,,, doesn’t make my skin feel oily at all,P4R697,5,27 May 2020,No,Yes,No,8,0,,Acne
158,Positive,,,,Skin,5,5,,,,,, my dry skin,P4R697,5,27 May 2020,No,Yes,No,8,0,,Acne
159,Positive,,,,Skin,5,5,,,,,, less irritable,P4R697,5,27 May 2020,No,Yes,No,8,0,,Acne
160,Positive,,,,Skin,5,5,,,,,, sensitive,P4R697,5,27 May 2020,No,Yes,No,8,0,,Acne
161,Positive,,,,Texture,4,4,,,,,, very think cream,P4R699,4,27 May 2020,Yes,Yes,No,5,1,,Acne
162,Positive,,,,Texture,4,4,,,,,, completely get absorbed,P4R699,4,27 May 2020,Yes,Yes,No,5,1,,Acne
163,Positive,,,,Odor,4,4,,,,,, subtle clean scent,P4R699,4,27 May 2020,Yes,Yes,No,5,1,,Acne
164,Positive,,,,Texture,5,5,,,,,, skin is soft and smooth,P4R701,5,23 May 2020,No,Yes,No,1,1,,Aging
165,Positive,,,,Skin,5,5,,,,,, my hands were cracked and dry,P4R701,5,23 May 2020,No,Yes,No,1,1,,Aging
166,Negative,,,,Packaging,5,5,,,,,, size of the jar wish it were a little larger.,P4R701,5,23 May 2020,No,Yes,No,1,1,,Aging
167,Positive,,,,Texture,5,5,,,,,, drinks it in without being greasy,P4R705,5,21 May 2020,No,Yes,Yes,8,2,,Aging
168,Positive,,,,Texture,5,5,,,,,, not be greasy,P4R705,5,21 May 2020,No,Yes,Yes,8,2,,Aging
169,Positive,,,,Sentiment,5,5,,,,,, best face/body cream,P4R705,5,21 May 2020,No,Yes,Yes,8,2,,Aging
170,Positive,,,,Motivation,5,5,,,,,, I got a sample of this to start,P4R705,5,21 May 2020,No,Yes,Yes,8,2,,Aging
171,Positive,,,,Demographic,5,5,,,,,, use it on my face(dry),P4R705,5,21 May 2020,No,Yes,Yes,8,2,,Aging
172,Positive,,,,Allergy,5,5,,,,,, not end up with breakouts on my face,P4R705,5,21 May 2020,No,Yes,Yes,8,2,,Aging
173,Positive,,,,Texture,5,5,,,,,, drinks it in without being greasy,P4R706,5,21 May 2020,No,Yes,Yes,8,2,,Aging
174,Positive,,,,Texture,5,5,,,,,, not be greasy,P4R706,5,21 May 2020,No,Yes,Yes,8,2,,Aging
175,Positive,,,,Skin,5,5,,,,,, amazing how it can moisturize all of me,P4R706,5,21 May 2020,No,Yes,Yes,8,2,,Aging
176,Positive,,,,Sentiment,5,5,,,,,, best face/body cream,P4R706,5,21 May 2020,No,Yes,Yes,8,2,,Aging
177,Positive,,,,Motivation,5,5,,,,,, I got a sample of this to start,P4R706,5,21 May 2020,No,Yes,Yes,8,2,,Aging
178,Positive,,,,Texture,5,5,,,,,, rich but not so that it would clog my pores,P4R707,5,21 May 2020,Yes,Yes,No,7,2,,Acne
179,Positive,,,,Skin,5,5,,,,,, dry,P4R707,5,21 May 2020,Yes,Yes,No,7,2,,Acne
180,Positive,,,,Skin,5,5,,,,,, red,P4R707,5,21 May 2020,Yes,Yes,No,7,2,,Acne
181,Positive,,,,Skin,5,5,,,,,, sensitive skin,P4R707,5,21 May 2020,Yes,Yes,No,7,2,,Acne
182,Positive,,,,Ingredients,5,5,,,,,, love that it has clean ingredients,P4R707,5,21 May 2020,Yes,Yes,No,7,2,,Acne
183,Positive,,,,Texture,5,5,,,,,, osh that it would clog my pores,P4R708,5,21 May 2020,Yes,Yes,No,7,2,,Acne
184,Positive,,,,Skin,5,5,,,,,, ery dry,P4R708,5,21 May 2020,Yes,Yes,No,7,2,,Acne
185,Positive,,,,Skin,5,5,,,,,, red,P4R708,5,21 May 2020,Yes,Yes,No,7,2,,Acne
186,Positive,,,,Skin,5,5,,,,,, and sensitive skin,P4R708,5,21 May 2020,Yes,Yes,No,7,2,,Acne
187,Positive,,,,Ingredients,5,5,,,,,, love that it has clean ingredients,P4R708,5,21 May 2020,Yes,Yes,No,7,2,,Acne
188,Positive,,,,Texture,5,5,,,,,, skin looks so plump,P4R709,5,20 May 2020,No,Yes,No,3,0,,Acne
189,Positive,,,,Texture,5,5,,,,,, Its a really good thick cream,P4R715,5,17 May 2020,No,Yes,No,4,0,,Acne
190,Positive,,,,Purchase,5,5,,,,,, and will be repurchasing,P4R715,5,17 May 2020,No,Yes,No,4,0,,Acne
191,Positive,,,,Allergy,5,5,,,,,, didn’t break me out personally,P4R715,5,17 May 2020,No,Yes,No,4,0,,Acne
192,Positive,,,,Texture,4,4,,,,,, found it soothing,P4R716,4,17 May 2020,Yes,Yes,No,12,0,,Acne
193,Positive,,,,Skin,4,4,,,,,, fair skin,P4R716,4,17 May 2020,Yes,Yes,No,12,0,,Acne
194,Positive,,,,Skin,4,4,,,,,, plumping my fine lines,P4R716,4,17 May 2020,Yes,Yes,No,12,0,,Acne
195,Positive,,,,Skin,4,4,,,,,, sensitive skin,P4R716,4,17 May 2020,Yes,Yes,No,12,0,,Acne
196,Positive,,,,Motivation,4,4,,,,,, limited edition size Spring sale,P4R716,4,17 May 2020,Yes,Yes,No,12,0,,Acne
197,Positive,,,,Motivation,4,4,,,,,, great reviews,P4R716,4,17 May 2020,Yes,Yes,No,12,0,,Acne
198,Positive,,,,Texture,5,5,,,,,, doesn’t feel oily or greasy,P4R719,5,16 May 2020,No,Yes,No,2,1,,Acne
199,Positive,,,,Skin,5,5,,,,,, acne prone,P4R719,5,16 May 2020,No,Yes,No,2,1,,Acne
200,Positive,,,,Purchase,5,5,,,,,, Definitely worth purchasing.,P4R719,5,16 May 2020,No,Yes,No,2,1,,Acne
201,Positive,,,,Application,5,5,,,,,, combination with my acne products,P4R719,5,16 May 2020,No,Yes,No,2,1,,Acne
202,Positive,,,,Texture,5,5,,,,,, feels clean on my skin,P4R720,5,16 May 2020,No,Yes,No,3,0,,Acne
203,Positive,,,,Texture,5,5,,,,,, absorbs quickly,P4R720,5,16 May 2020,No,Yes,No,3,0,,Acne
204,Positive,,,,Purchase,5,5,,,,,, bought my fifth 6.0 oz tub,P4R720,5,16 May 2020,No,Yes,No,3,0,,Acne
205,Positive,,,,Price,5,5,,,,,, Sephora the price is reasonable,P4R720,5,16 May 2020,No,Yes,No,3,0,,Acne
206,Positive,,,,Packaging,5,5,,,,,, 6 oz lasts me six months,P4R720,5,16 May 2020,No,Yes,No,3,0,,Acne
207,Positive,,,,Demographic,5,5,,,,,, I’m white,P4R720,5,16 May 2020,No,Yes,No,3,0,,Acne
208,Positive,,,,Demographic,5,5,,,,,,,P4R720,5,16 May 2020,No,Yes,No,3,0,,Acne
209,Positive,,,,Texture,4,4,,,,,, not greasy,P4R721,4,15 May 2020,No,No,Yes,5,0,,Acne
210,Positive,,,,Application,4,4,,,,,, Makeup sat really nicely on top of it,P4R721,4,15 May 2020,No,No,Yes,5,0,,Acne
211,Negative,,,,Application,4,4,,,,,, I felt like I needed another layer a couple of hours,P4R721,4,15 May 2020,No,No,Yes,5,0,,Acne
212,Positive,,,,Texture,5,5,,,,,, not greasy,P4R723,5,12 May 2020,No,Yes,No,7,5,,
213,Positive,,,,Price,5,5,,,,,, good price for the amount,P4R723,5,12 May 2020,No,Yes,No,7,5,,
214,Positive,,,,Application,5,5,,,,,, my face,P4R723,5,12 May 2020,No,Yes,No,7,5,,
215,Positive,,,,Application,5,5,,,,,, hands,P4R723,5,12 May 2020,No,Yes,No,7,5,,
