Sentiment,L1 Cluster ID,L1 Cluster,L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Rating (Phrase),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,,,,Skin,700,4.817142857142857,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, redness gone,P4R603,5,13 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Brand,34,4.764705882352941,1, very dry T-Zone quickly,7,7,5.0,5.0,, Thank you First Aid Beauty!!,P4R603,5,13 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Motivation,75,4.386666666666667,0, very dry T-Zone quickly,13,10,3.8,3.8461538461538463,, Read reviews on this product,P4R603,5,13 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Skin,699,4.816881258941344,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, redness gone,P4R603,5,13 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Brand,34,4.764705882352941,1, very dry T-Zone quickly,7,7,5.0,5.0,, Thank you First Aid Beauty!!,P4R603,5,13 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, first tried this moisturizer as a free sample,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,700,4.817142857142857,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, reduced redness,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,700,4.817142857142857,31, never caused an acne flare,17,17,4.294117647058823,4.294117647058823,, combination skin,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,700,4.817142857142857,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, good hydrating moisturizer,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Texture,241,4.775933609958506,1, Very gentle,20,17,4.9411764705882355,4.95,, does NOT leave skin oily/greasy,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Texture,241,4.775933609958506,9, very dry T-Zone quickly,22,22,4.863636363636363,4.863636363636363,, absorbs it immediately,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Texture,241,4.775933609958506,3, Very gentle,19,18,4.722222222222222,4.7368421052631575,, not look glossy midday,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Sentiment,119,4.9411764705882355,0, Very gentle,36,35,4.885714285714286,4.888888888888889,, this one is PERFECTION,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Purchase,46,4.934782608695652,1, very dry T-Zone quickly,26,24,4.916666666666667,4.923076923076923,, lifetime product for me,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Negative,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, first tried this moisturizer as a free sample,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Negative,,,,Skin,699,4.816881258941344,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, reduced redness,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Negative,,,,Skin,699,4.816881258941344,31, never caused an acne flare,17,17,4.294117647058823,4.294117647058823,, combination skin,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Negative,,,,Skin,699,4.816881258941344,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, good hydrating moisturizer,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Negative,,,,Texture,241,4.775933609958506,1, Very gentle,20,17,4.9411764705882355,4.95,, does NOT leave skin oily/greasy,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Negative,,,,Texture,241,4.775933609958506,9, very dry T-Zone quickly,22,22,4.863636363636363,4.863636363636363,, absorbs it immediately,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Negative,,,,Texture,241,4.775933609958506,3, Very gentle,19,18,4.722222222222222,4.7368421052631575,, not look glossy midday,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Negative,,,,Sentiment,119,4.9411764705882355,0, Very gentle,36,35,4.885714285714286,4.888888888888889,, this one is PERFECTION,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Negative,,,,Purchase,46,4.934782608695652,1, very dry T-Zone quickly,26,24,4.916666666666667,4.923076923076923,, lifetime product for me,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,700,4.817142857142857,33, price is worth it,12,12,4.75,4.75,, sensitive dry/combo skin,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,700,4.817142857142857,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, thick and hydrating,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,700,4.817142857142857,4, calm any redness,12,8,5.0,5.0,, pcos so,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,700,4.817142857142857,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, less redness,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,700,4.817142857142857,41, absorbs very well,13,13,5.0,5.0,, No bumps or acne,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Texture,241,4.775933609958506,11, combination acne prone skin,22,20,4.7,4.7272727272727275,, feels thick,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Demographic,54,4.962962962962963,3, Very gentle,16,15,4.933333333333334,4.9375,, laneige water cream for a year,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Sentiment,119,4.9411764705882355,0, Very gentle,36,35,4.885714285714286,4.888888888888889,, #holygrail,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Skin,699,4.816881258941344,33, price is worth it,12,12,4.75,4.75,, sensitive dry/combo skin,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Skin,699,4.816881258941344,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, thick and hydrating,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Skin,699,4.816881258941344,4, calm any redness,12,8,5.0,5.0,, pcos so,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Skin,699,4.816881258941344,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, less redness,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Skin,699,4.816881258941344,41, absorbs very well,13,13,5.0,5.0,, No bumps or acne,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Texture,241,4.775933609958506,11, combination acne prone skin,22,20,4.7,4.7272727272727275,, feels thick,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Demographic,54,4.962962962962963,3, Very gentle,16,15,4.933333333333334,4.9375,, laneige water cream for a year,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Negative,,,,Sentiment,119,4.9411764705882355,0, Very gentle,36,35,4.885714285714286,4.888888888888889,, #holygrail,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Demographic,54,4.962962962962963,0, very dry T-Zone quickly,23,22,4.863636363636363,4.869565217391305,, husband,P4R607,3,11 August 2020,No,No,No,32,4,,Calluses
Positive,,,,Packaging,52,4.788461538461538,2, very dry T-Zone quickly,9,9,4.444444444444445,4.444444444444445,, PLEASE bring back the tube,P4R607,3,11 August 2020,No,No,No,32,4,,Calluses
Negative,,,,Demographic,54,4.962962962962963,0, very dry T-Zone quickly,23,22,4.863636363636363,4.869565217391305,, husband,P4R607,3,11 August 2020,No,No,No,32,4,,Calluses
Negative,,,,Packaging,52,4.788461538461538,2, very dry T-Zone quickly,9,9,4.444444444444445,4.444444444444445,, PLEASE bring back the tube,P4R607,3,11 August 2020,No,No,No,32,4,,Calluses
Positive,,,,Texture,241,4.775933609958506,11, combination acne prone skin,22,20,4.7,4.7272727272727275,, thicker,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Texture,241,4.775933609958506,20, dark acne scars,4,4,4.5,4.5,, soaks well,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Texture,241,4.775933609958506,0, absorbs very well,10,10,4.5,4.5,, feels smooth,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Skin,700,4.817142857142857,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, skill looks more hydrated,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Negative,,,,Texture,241,4.775933609958506,11, combination acne prone skin,22,20,4.7,4.7272727272727275,, thicker,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Negative,,,,Texture,241,4.775933609958506,20, dark acne scars,4,4,4.5,4.5,, soaks well,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Negative,,,,Texture,241,4.775933609958506,0, absorbs very well,10,10,4.5,4.5,, feels smooth,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Negative,,,,Skin,699,4.816881258941344,24, recommend trying this product,49,46,4.760869565217392,4.714285714285714,, skill looks more hydrated,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Motivation,75,4.386666666666667,1, very dry T-Zone quickly,19,19,4.421052631578948,4.421052631578948,, to buy the value size about 2 months ago,P4R610,5,07 August 2020,No,Yes,No,6,1,,
Negative,,,,Motivation,75,4.386666666666667,1, very dry T-Zone quickly,19,19,4.421052631578948,4.421052631578948,, to buy the value size about 2 months ago,P4R610,5,07 August 2020,No,Yes,No,6,1,,
Positive,,,,Skin,700,4.817142857142857,11, recommend trying this product,70,67,4.865671641791045,4.871428571428571,, have eczema,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Positive,,,,Skin,700,4.817142857142857,0, very dry T-Zone quickly,22,22,4.863636363636363,4.863636363636363,, dry ski,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Positive,,,,Texture,241,4.775933609958506,8, never caused an acne flare,20,20,4.8,4.8,, lightweight,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Negative,,,,Skin,699,4.816881258941344,11, recommend trying this product,70,67,4.865671641791045,4.871428571428571,, have eczema,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Negative,,,,Skin,699,4.816881258941344,0, very dry T-Zone quickly,22,22,4.863636363636363,4.863636363636363,, dry ski,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Negative,,,,Texture,241,4.775933609958506,8, never caused an acne flare,20,20,4.8,4.8,, lightweight,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Positive,,,,Skin,700,4.817142857142857,14, Age is [35],12,11,4.7272727272727275,4.5,, SUPER dry skin,P4R613,5,03 August 2020,No,Yes,No,3,0,,Acne
Positive,,,,Performance,76,4.921052631578948,3, very dry T-Zone quickly,7,7,5.0,5.0,, calms my skin,P4R613,5,03 August 2020,No,Yes,No,3,0,,Acne
Positive,,,,Performance,76,4.921052631578948,4, Very gentle,10,10,4.7,4.7,, makes it feel plump,P4R613,5,03 August 2020,No,Yes,No,3,0,,Acne
Negative,,,,Skin,699,4.816881258941344,14, Age is [35],12,11,4.7272727272727275,4.5,, SUPER dry skin,P4R613,5,03 August 2020,No,Yes,No,3,0,,Acne
Negative,,,,Performance,76,4.921052631578948,3, very dry T-Zone quickly,7,7,5.0,5.0,, calms my skin,P4R613,5,03 August 2020,No,Yes,No,3,0,,Acne
Negative,,,,Performance,76,4.921052631578948,4, Very gentle,10,10,4.7,4.7,, makes it feel plump,P4R613,5,03 August 2020,No,Yes,No,3,0,,Acne
Positive,,,,Skin,700,4.817142857142857,21, combination acne prone skin,32,32,4.96875,4.96875,, suffer from adult acne,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Positive,,,,Skin,700,4.817142857142857,11, recommend trying this product,70,67,4.865671641791045,4.871428571428571,, dyshidrotic eczema,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Positive,,,,Skin,700,4.817142857142857,41, absorbs very well,13,13,5.0,5.0,, bumps my rash had,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Positive,,,,Skin,700,4.817142857142857,3, Read reviews on this product,24,23,4.869565217391305,4.875,, skin that was flaking,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Positive,,,,Skin,700,4.817142857142857,3, Read reviews on this product,24,23,4.869565217391305,4.875,, oily skin but now I’m pretty sure I was,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Positive,,,,Sentiment,119,4.9411764705882355,3, Very gentle,18,18,5.0,5.0,, cannot say enough good stuff,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Negative,,,,Skin,699,4.816881258941344,21, combination acne prone skin,32,32,4.96875,4.96875,, suffer from adult acne,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Negative,,,,Skin,699,4.816881258941344,11, recommend trying this product,70,67,4.865671641791045,4.871428571428571,, dyshidrotic eczema,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Negative,,,,Skin,699,4.816881258941344,41, absorbs very well,13,13,5.0,5.0,, bumps my rash had,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Negative,,,,Skin,699,4.816881258941344,3, Read reviews on this product,24,23,4.869565217391305,4.875,, skin that was flaking,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Negative,,,,Skin,699,4.816881258941344,3, Read reviews on this product,24,23,4.869565217391305,4.875,, oily skin but now I’m pretty sure I was,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Negative,,,,Sentiment,119,4.9411764705882355,3, Very gentle,18,18,5.0,5.0,, cannot say enough good stuff,P4R614,5,02 August 2020,No,Yes,No,9,1,,Acne
Positive,,,,Brand,34,4.764705882352941,0, Very gentle,27,23,4.695652173913044,4.703703703703703,, been buying the 8oz tube directly from FAB,P4R615,4,31 July 2020,No,Yes,No,8,1,,Aging
Negative,,,,Brand,34,4.764705882352941,0, Very gentle,27,23,4.695652173913044,4.703703703703703,, been buying the 8oz tube directly from FAB,P4R615,4,31 July 2020,No,Yes,No,8,1,,Aging
Positive,,,,Skin,700,4.817142857142857,31, never caused an acne flare,17,17,4.294117647058823,4.294117647058823,, combination skin,P4R616,5,31 July 2020,No,Yes,No,4,1,,Acne
Positive,,,,Application,74,4.797297297297297,8, very dry T-Zone quickly,4,4,5.0,5.0,, using this with foundation,P4R616,5,31 July 2020,No,Yes,No,4,1,,Acne
Negative,,,,Skin,699,4.816881258941344,31, never caused an acne flare,17,17,4.294117647058823,4.294117647058823,, combination skin,P4R616,5,31 July 2020,No,Yes,No,4,1,,Acne
Negative,,,,Application,74,4.797297297297297,8, very dry T-Zone quickly,4,4,5.0,5.0,, using this with foundation,P4R616,5,31 July 2020,No,Yes,No,4,1,,Acne
Positive,,,,Skin,700,4.817142857142857,8, Read reviews on this product,41,39,4.717948717948718,4.7317073170731705,, Super thick,P4R617,5,30 July 2020,No,Yes,No,4,2,,Dullness
Positive,,,,Skin,700,4.817142857142857,5, redness gone,43,41,4.634146341463414,4.651162790697675,, very moisturizing,P4R617,5,30 July 2020,No,Yes,No,4,2,,Dullness
Negative,,,,Skin,699,4.816881258941344,8, Read reviews on this product,41,39,4.717948717948718,4.7317073170731705,, Super thick,P4R617,5,30 July 2020,No,Yes,No,4,2,,Dullness
Negative,,,,Skin,699,4.816881258941344,5, redness gone,43,41,4.634146341463414,4.651162790697675,, very moisturizing,P4R617,5,30 July 2020,No,Yes,No,4,2,,Dullness
Positive,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, because I started watching a lot of skincare,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Brand,34,4.764705882352941,0, Very gentle,27,23,4.695652173913044,4.703703703703703,, this brand is vegan AND cruelty free,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Ingredients,12,4.833333333333333,0, very dry T-Zone quickly,12,9,4.888888888888889,4.833333333333333,, oat,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Allergy,44,4.840909090909091,0, very dry T-Zone quickly,23,22,4.909090909090909,4.869565217391305,, even though i have combo skin,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Allergy,44,4.840909090909091,3, very dry T-Zone quickly,2,2,5.0,5.0,,,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Texture,241,4.775933609958506,6, recommend trying this product,21,17,4.823529411764706,4.809523809523809,, doesn't make me super oily,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Texture,241,4.775933609958506,5, price is worth it,19,19,4.684210526315789,4.684210526315789,, thick cream,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Application,74,4.797297297297297,0, Very gentle,16,15,4.866666666666666,4.8125,, my face and neck,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Negative,,,,Motivation,75,4.386666666666667,4, Very gentle,17,17,4.823529411764706,4.823529411764706,, because I started watching a lot of skincare,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Negative,,,,Brand,34,4.764705882352941,0, Very gentle,27,23,4.695652173913044,4.703703703703703,, this brand is vegan AND cruelty free,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Negative,,,,Ingredients,12,4.833333333333333,0, very dry T-Zone quickly,12,9,4.888888888888889,4.833333333333333,, oat,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Negative,,,,Allergy,44,4.840909090909091,0, very dry T-Zone quickly,23,22,4.909090909090909,4.869565217391305,, even though i have combo skin,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Negative,,,,Allergy,44,4.840909090909091,3, very dry T-Zone quickly,2,2,5.0,5.0,,,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Negative,,,,Texture,241,4.775933609958506,6, recommend trying this product,21,17,4.823529411764706,4.809523809523809,, doesn't make me super oily,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Negative,,,,Texture,241,4.775933609958506,5, price is worth it,19,19,4.684210526315789,4.684210526315789,, thick cream,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Negative,,,,Application,74,4.797297297297297,0, Very gentle,16,15,4.866666666666666,4.8125,, my face and neck,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Packaging,52,4.788461538461538,2, very dry T-Zone quickly,9,9,4.444444444444445,4.444444444444445,, Tub size is quite large,P4R620,4,28 July 2020,No,Yes,No,1,0,,Acne
Negative,,,,Packaging,52,4.788461538461538,2, very dry T-Zone quickly,9,9,4.444444444444445,4.444444444444445,, Tub size is quite large,P4R620,4,28 July 2020,No,Yes,No,1,0,,Acne
Positive,,,,Skin,700,4.817142857142857,5, redness gone,43,41,4.634146341463414,4.651162790697675,, extremely moisturizing,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Positive,,,,Texture,241,4.775933609958506,14, combination acne prone skin,5,5,4.8,4.8,, sinks right in,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Positive,,,,Texture,241,4.775933609958506,0, absorbs very well,10,10,4.5,4.5,, feels super smooth,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Positive,,,,Price,84,4.928571428571429,2, Very gentle,23,23,4.956521739130435,4.956521739130435,, Great price too,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Positive,,,,Packaging,52,4.788461538461538,2, very dry T-Zone quickly,9,9,4.444444444444445,4.444444444444445,, $14/2oz tube,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Negative,,,,Skin,699,4.816881258941344,5, redness gone,43,41,4.634146341463414,4.651162790697675,, extremely moisturizing,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Negative,,,,Texture,241,4.775933609958506,14, combination acne prone skin,5,5,4.8,4.8,, sinks right in,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Negative,,,,Texture,241,4.775933609958506,0, absorbs very well,10,10,4.5,4.5,, feels super smooth,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Negative,,,,Price,84,4.928571428571429,2, Very gentle,23,23,4.956521739130435,4.956521739130435,, Great price too,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Negative,,,,Packaging,52,4.788461538461538,2, very dry T-Zone quickly,9,9,4.444444444444445,4.444444444444445,, $14/2oz tube,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
Positive,,,,Skin,700,4.817142857142857,15, first tried this moisturizer as a free sample,8,7,5.0,5.0,, damaged moisture barrier,P4R622,5,26 July 2020,No,Yes,No,10,0,,Acne
Positive,,,,Skin,700,4.817142857142857,15, first tried this moisturizer as a free sample,8,7,5.0,5.0,, my moisture barrier was completely healed,P4R622,5,26 July 2020,No,Yes,No,10,0,,Acne
Positive,,,,Sentiment,119,4.9411764705882355,5, combination acne prone skin,10,10,5.0,5.0,, my holy grail,P4R622,5,26 July 2020,No,Yes,No,10,0,,Acne
Negative,,,,Skin,699,4.816881258941344,15, first tried this moisturizer as a free sample,8,7,5.0,5.0,, damaged moisture barrier,P4R622,5,26 July 2020,No,Yes,No,10,0,,Acne
Negative,,,,Skin,699,4.816881258941344,15, first tried this moisturizer as a free sample,8,7,5.0,5.0,, my moisture barrier was completely healed,P4R622,5,26 July 2020,No,Yes,No,10,0,,Acne
Negative,,,,Sentiment,119,4.9411764705882355,5, combination acne prone skin,10,10,5.0,5.0,, my holy grail,P4R622,5,26 July 2020,No,Yes,No,10,0,,Acne
Positive,,,,Skin,700,4.817142857142857,30, combination skin,15,15,4.733333333333333,4.733333333333333,, I have rosacea,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
Positive,,,,Skin,700,4.817142857142857,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, most of the redness go away,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
Positive,,,,Texture,241,4.775933609958506,19, dark acne scars,30,27,4.925925925925926,4.933333333333334,, not greasy,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
Positive,,,,Odor,51,4.705882352941177,0, very dry T-Zone quickly,26,26,4.846153846153846,4.846153846153846,, doesn't smell bad,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
Negative,,,,Skin,699,4.816881258941344,30, combination skin,14,14,4.714285714285714,4.714285714285714,, I have rosacea,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
Negative,,,,Skin,699,4.816881258941344,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, most of the redness go away,P4R623,5,25 July 2020,Yes,Yes,No,12,0,,Aging
